id,label,f01|E:url[seminar],f02|#:text[abstract],f03|#:text[location],f04|#:text[LOCATION],f05|#:text[speaker],f06|#:text[SPEAKER],f07|#:text[date|time],f08|#:text[DATE|TIME],f09|#:tag[img],f10|#:text[tbc/tba],f11|#:tag[table],f12|#:url[neg_word],f13|#:text[seminar],f14|#ratio:text[LOCATION-TIME]
30738,-1,0,1,3,0,5,0,6,0,3,0,1,1,1,0
9033,-1,0,0,1,0,0,0,0,1,96,0,0,0,0,0
137,-1,1,1,1,0,0,0,1,0,12,0,2,1,18,0
32052,-1,1,0,0,0,0,0,0,0,7,0,0,0,0,0
23442,-1,0,0,1,0,1,0,0,4,2,0,0,1,0,0
65094,-1,0,0,1,0,0,1,9,2,4,0,0,0,0,0
75292,-1,0,0,0,0,0,0,1,2,5,0,1,0,0,0
14452,-1,0,1,4,5,7,0,7,7,5,0,0,1,2,0
21396,-1,0,0,2,0,0,0,1,0,9,0,1,0,2,0
100251,-1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
14044,-1,0,1,3,12,7,0,7,4,5,0,0,1,2,3
13035,-1,0,1,9,9,7,0,7,8,5,0,0,1,2,1
92154,-1,0,1,3,0,4,48,4,80,77,0,1,0,15,0
2397,-1,0,0,2,1,1,0,1,3,0,0,0,0,1,0
22112,-1,1,0,4,2,0,0,2,3,10,0,1,0,15,0
70437,-1,0,0,5,0,1,2,2,8,16,0,0,0,0,0
32920,-1,0,4,2,0,0,2,3,1,1,0,0,0,0,0
64860,-1,0,0,1,0,1,1,11,2,4,0,0,0,3,0
32785,-1,0,1,3,0,1,1,1,0,1,0,0,0,0,0
27307,-1,0,1,0,0,0,0,1,0,2,0,1,0,0,0
48015,-1,0,0,4,3,0,0,5,0,2,0,0,0,1,3
3874,-1,0,0,1,2,3,1,0,0,0,0,0,1,1,2
18590,-1,0,0,1,0,7,0,4,7,16,0,0,1,1,0
24354,-1,0,0,3,1,7,0,2,3,1,0,0,1,3,0
48834,-1,0,1,1,1,0,7,2,0,1,0,0,0,11,1
2394,-1,0,0,2,1,1,0,1,2,0,0,0,0,1,0
1448,-1,0,0,24,13,3,0,6,8,0,0,0,0,7,1
78252,-1,0,0,0,0,2,1,0,0,30,0,0,0,1,0
13514,-1,0,1,3,6,7,0,7,4,6,0,0,1,3,1
14136,-1,0,3,13,135,38,51,36,30,105,0,0,1,7,4
7643,-1,0,0,0,0,0,0,0,0,36,0,6,0,0,0
12811,-1,0,0,2,0,0,0,1,0,7,0,0,0,5,0
26303,-1,0,0,2,0,2,0,1,3,1,0,0,0,1,0
65357,-1,0,0,1,0,0,1,9,2,5,0,0,0,0,0
32566,-1,0,2,1,0,2,7,9,1,2,0,0,0,0,0
2467,-1,1,0,3,2,1,0,1,3,5,0,3,0,6,0
10507,-1,0,0,4,2,0,0,26,0,9,0,0,0,3,2
23033,-1,0,2,12,1,0,0,16,2,3,0,1,0,0,0
14107,-1,0,0,1,2,1,0,1,0,1,0,0,0,6,2
3561,-1,0,12,23,5,14,0,3,15,14,0,0,0,14,0
13386,-1,0,1,3,4,7,0,7,12,6,0,0,1,2,0
67406,-1,1,0,5,5,0,0,9,3,3,0,0,0,2,1
13413,-1,0,1,3,5,7,0,10,11,5,0,0,1,2,0
69181,-1,0,1,9,8,1,1,0,2,6,0,0,0,2,4
94496,-1,0,0,1,0,0,5,1,2,5,0,0,0,1,0
